lote,hidrometro,leitura_inicial,leitura_final,consumo_pdf_calc,status_render
03,H0003,104.000,104.000,0.0,OK
04,H0004,327.000,339.000,12.0,OK
07,H0007,1349.000,1362.000,13.0,OK
08,H0008,466.000,474.000,8.0,OK
09,H0009,822.000,830.000,8.0,OK
10,H0010,1124.000,1141.000,17.0,OK
11,H0011,1067.000,1075.000,8.0,OK
12,H0012,108.000,111.000,3.0,OK
13,H0013,1256.000,1266.000,10.0,OK
14,H0014,1808.000,1828.000,20.0,OK
17,H0017,420.000,428.000,8.0,OK
18,H0018,893.000,906.000,13.0,OK
19,H0019,2438.000,2456.000,18.0,OK
20,H0020,1162.000,1174.000,12.0,OK
21,H0021,102.000,97.000,-5.0,OK
22,H0022,94.000,94.000,0.0,OK
23,H0023,486.000,502.000,16.0,OK
24,H0024,325.000,384.000,59.0,OK
25,H0025,1077.000,1090.000,13.0,OK
26,H0026,324.000,329.000,5.0,OK
27,H0027,109.000,118.000,9.0,OK
29,H0029,361.000,380.000,19.0,OK
30,H0030,725.000,746.000,21.0,OK
32,H0032,21.000,21.000,0.0,OK
33,H0033,966.000,989.000,23.0,OK
34,H0034,24.000,24.000,0.0,OK
36,H0036,119.000,120.000,1.0,OK
37,H0037,86.000,87.000,1.0,OK
38,H0038,1533.000,1537.000,4.0,OK
39,H0039,985.000,988.000,3.0,OK
40,H0040,9852.000,9846.000,-6.0,OK
41,H0041,1015.000,1027.000,12.0,OK
43,H0043,1149.000,1155.000,6.0,OK
45,H0045,140.000,156.000,16.0,OK
46,H0046,1006.000,1015.000,9.0,OK
47,H0047,106.000,144.000,38.0,OK
54,H0054,1078.000,1092.000,14.0,OK
55,H0055,9988.000,9988.000,0.0,OK
56,H0056,95.000,95.000,0.0,OK
59,H0059,409.000,426.000,17.0,OK
60,H0060,1651.000,1667.000,16.0,OK
61,H0061,9610.000,9607.000,-3.0,OK
62,H0062,1055.000,1079.000,24.0,OK
63,H0063,1635.000,1661.000,26.0,OK
65,H0065,1188.000,1214.000,26.0,OK
66,H0066,5.000,5.000,0.0,OK
67,H0067,390.000,396.000,6.0,OK
68,H0068,542.000,554.000,12.0,OK
70,H0070,9843.000,9810.000,-33.0,OK
72,H0072,237.000,243.000,6.0,OK
73,H0073,606.000,624.000,18.0,OK
74,H0074,769.000,780.000,11.0,OK
75,H0075,415.000,425.000,10.0,OK
76,H0076,446.000,461.000,15.0,OK
77,H0077,980.000,1004.000,24.0,OK
78,H0078,649.000,671.000,22.0,OK
80,H0080,18.000,46.000,28.0,OK
83,H0083,599.000,608.000,9.0,OK
84,H0084,184.000,192.000,8.0,OK
85,H0085,149.000,171.000,22.0,OK
86,H0086,139.000,142.000,3.0,OK
87,H0087,115.000,127.000,12.0,OK
88,H0088,74.000,74.000,0.0,OK
89,H0089,1138.000,1149.000,11.0,OK
90,H0090,1615.000,1630.000,15.0,OK
